iter	Logloss
276	0.3787058195
277	0.3786127684
278	0.3786126623
279	0.378609302
280	0.3783869943
281	0.3782776341
282	0.3782470663
283	0.3782290683
284	0.3782033345
285	0.3781724501
286	0.3780844392
287	0.3779092968
288	0.3779092916
289	0.3778968498
290	0.3778763289
291	0.3777089415
292	0.3774963172
293	0.3773965021
294	0.3773854771
295	0.3772898023
296	0.3772754362
297	0.3771884413
298	0.377141205
299	0.3770938446
=======
0	0.672261869
1	0.6523917114
2	0.6352699415
3	0.6170062003
4	0.6034098067
5	0.5884011895
6	0.5724439632
7	0.5598298744
8	0.5492091433
9	0.540537745
10	0.5319338104
11	0.5234437841
12	0.5158739801
13	0.5084811419
14	0.5005083976
15	0.4945013825
16	0.4890766934
17	0.4825525408
18	0.4771941597
19	0.4723262268
20	0.468104797
21	0.4637796797
22	0.4605717947
23	0.45703125
24	0.4537453917
25	0.4511045558
26	0.4484592415
27	0.445558013
28	0.4424511791
29	0.4401910364
30	0.4381101349
31	0.4361702642
32	0.433999399
33	0.4321886412
34	0.4300181372
35	0.4290092875
36	0.4271478597
37	0.4251645421
38	0.4235041692
39	0.4222917004
40	0.4206926515
41	0.4192691961
42	0.4177971293
43	0.4168194111
44	0.4155374561
45	0.4145538872
46	0.4129204564
47	0.4118476823
48	0.4109115691
49	0.4097614356
50	0.4086859889
51	0.4075264293
52	0.4062980336
53	0.4054949698
54	0.4047255657
55	0.4038441314
56	0.4032073433
57	0.4021672175
58	0.4011917024
59	0.4004429924
60	0.3998335438
61	0.3993010211
62	0.398500052
63	0.397711904
64	0.3968726525
65	0.3962425458
66	0.3955210308
67	0.3947743072
68	0.3942271577
69	0.3936470709
70	0.3929700502
71	0.3925390481
72	0.3920218022
73	0.3913932484
74	0.3908198791
75	0.3901645277
76	0.3895414273
77	0.3889719224
78	0.3884720119
79	0.3880543726
80	0.3874819423
81	0.3870312211
82	0.3865519687
83	0.386196159
84	0.3858542177
85	0.3851237822
86	0.384512311
87	0.3839664617
88	0.3836219562
89	0.3831887149
90	0.3829026442
91	0.3824884358
92	0.3821740145
93	0.381786676
94	0.3815636268
95	0.381011999
96	0.3806990223
97	0.3803317279
98	0.3796888002
99	0.3793220114
100	0.3788301186
101	0.3783708742
102	0.3781591291
103	0.3777781108
104	0.3772529557
105	0.3769041163
106	0.3764712001
107	0.3760965381
108	0.3756469004
109	0.3752654488
110	0.3749848315
111	0.3746474407
112	0.37416371
113	0.3736333542
114	0.3734410393
115	0.3730075814
116	0.37252302
117	0.3722578602
118	0.3717664369
119	0.3713744395
120	0.3710853712
121	0.3707918968
122	0.3704567813
123	0.3700883673
124	0.3696890746
125	0.3695345726
126	0.3691910422
127	0.3687180017
128	0.3684029664
129	0.3680436896
130	0.3676399547
131	0.3671782544
132	0.3669677734
133	0.3665066871
134	0.3663924178
135	0.366216716
136	0.3658377563
137	0.3654529459
138	0.3653674244
139	0.3648589185
140	0.3646004761
141	0.364388695
142	0.3639497114
143	0.3635626618
144	0.363199629
145	0.3628027922
146	0.3623678896
147	0.3621796557
148	0.3617842635
149	0.3613382373
150	0.360911858
151	0.3607590173
152	0.3603965624
153	0.3602613099
154	0.3600941675
155	0.3598372781
156	0.3596485025
157	0.3592957626
158	0.3587980553
159	0.3583156969
160	0.3579092534
161	0.3573998446
162	0.3573901656
163	0.3572763296
164	0.3570879874
165	0.3568873298
166	0.3565150876
167	0.35617618
168	0.3560531345
169	0.3558148085
170	0.3555277627
171	0.3552302434
172	0.3548942972
173	0.354536754
174	0.3540837215
175	0.3539704633
176	0.3538535214
177	0.3536413791
178	0.353320457
179	0.3531758506
180	0.3529212365
181	0.352411936
182	0.3521311743
183	0.3518959542
184	0.3516145785
185	0.3510370198
186	0.3506878915
187	0.3503846659
188	0.3501682981
189	0.3499973636
190	0.349684423
191	0.3495368551
192	0.3492969039
193	0.3490559414
194	0.348705838
195	0.348459711
196	0.3483192579
197	0.3482667099
198	0.3478515625
199	0.3475610135
200	0.3469561876
201	0.3465802255
202	0.3462642873
203	0.3461239425
204	0.3459253074
205	0.3456655288
206	0.3454533504
207	0.3451256385
208	0.3449498284
209	0.3447156195
210	0.3443383934
211	0.3441103602
212	0.3439184787
213	0.3434911965
214	0.3431663017
215	0.3427727874
216	0.3424343132
217	0.3420597234
218	0.3417575452
219	0.3413754435
220	0.3411126673
221	0.3408788196
222	0.3406253612
223	0.3402997801
224	0.3400194879
225	0.3396121053
226	0.3393987712
227	0.3393104689
228	0.3390099881
229	0.3387524125
230	0.3384977984
231	0.3382648897
232	0.3378336348
233	0.3373615333
234	0.3371859398
235	0.3365362224
236	0.3362574109
237	0.33592811
238	0.3357120672
239	0.3354760887
240	0.3352511254
241	0.3351051466
242	0.334840384
243	0.3345165727
244	0.334280847
245	0.333796719
246	0.3334738466
247	0.333139634
248	0.3329094339
249	0.3327639608
250	0.3324682473
251	0.331950568
252	0.3315700554
253	0.3312829012
254	0.3310129019
255	0.3307193914
256	0.3303305361
257	0.3298858462
258	0.3296643861
259	0.3294763328
260	0.3292904464
261	0.3291625254
262	0.3289408486
263	0.3285830165
264	0.3282774073
265	0.3278756587
266	0.3275996643
267	0.3273260895
268	0.3269924909
269	0.3268003565
270	0.3265970986
271	0.3264167379
272	0.3259890223
273	0.325683666
274	0.3254851031
275	0.3250978729
276	0.3248024483
277	0.3246097723
278	0.3243759607
279	0.3240652592
280	0.3238893407
281	0.3235838399
282	0.3231998602
283	0.3229992748
284	0.3227323453
285	0.3224417602
286	0.3221265082
287	0.3218078252
288	0.3215486244
289	0.3213591626
290	0.3210775703
291	0.3207653881
292	0.3205223309
293	0.3201789089
294	0.3198229186
295	0.3195183207
296	0.3192690878
297	0.3189571584
298	0.3186126167
299	0.3182370158
300	0.3180258486
301	0.3178168122
302	0.317499321
303	0.3173040085
304	0.3169862646
305	0.3165542512
306	0.3162885858
307	0.3160042847
308	0.3157677284
309	0.315449226
310	0.3152062049
311	0.3149637617
312	0.3147022134
313	0.3144508136
314	0.3143038958
315	0.3139637603
316	0.3137168749
317	0.3135437373
318	0.3133391431
319	0.3131322014
320	0.3129874867
321	0.3126740766
322	0.3125192134
323	0.3123581745
324	0.3121374006
325	0.3119412213
326	0.3115345611
327	0.311163294
328	0.3109370666
329	0.3107646513
330	0.3105902136
331	0.3105131793
332	0.3103791547
333	0.3101672291
334	0.3098897178
335	0.3095893815
336	0.309504474
337	0.3093377288
338	0.3091061564
339	0.3087856676
340	0.3086241592
341	0.3082617043
342	0.3079836151
343	0.3078005097
344	0.3074737007
345	0.3073018633
346	0.3071392353
347	0.3067226794
348	0.3065621822
349	0.3064866286
350	0.3062348315
351	0.3060608632
352	0.3059018468
353	0.305736149
354	0.305618882
355	0.3052609777
356	0.3049701036
357	0.3047103611
358	0.3044284437
359	0.3041680872
360	0.3039625901
361	0.3038122775
362	0.3037233612
363	0.3034883217
364	0.3034232416
365	0.3030693099
366	0.3028190839
367	0.302505764
368	0.3023867996
369	0.3022581202
370	0.3020939392
371	0.3019097684
372	0.3016107864
373	0.3013961882
374	0.3011364457
375	0.3009218114
376	0.3008202005
377	0.3005933773
378	0.3004294853
379	0.3002627762
380	0.3002175957
381	0.2998948137
382	0.2995654586
383	0.2993716268
384	0.2993279632
385	0.2991125524
386	0.2989070554
387	0.29876151
388	0.298611071
389	0.2983212082
390	0.2981385722
391	0.2980252057
392	0.2977922067
393	0.2973267685
394	0.29721528
395	0.2971709844
396	0.2968483829
397	0.2966722477
398	0.2963918833
399	0.2961859528
400	0.295903602
401	0.2957210924
402	0.2952888082
403	0.2949554805
404	0.2947736029
405	0.2947361331
406	0.2945581921
407	0.2943901649
408	0.2941698966
409	0.293956093
410	0.2936926125
411	0.2935717521
412	0.293351863
413	0.2932368352
414	0.2930753629
415	0.2929577348
416	0.2927931024
417	0.2926264836
418	0.2923202063
419	0.2921737219
420	0.2918017506
421	0.291703661
422	0.2915508203
423	0.2914184029
424	0.291225492
425	0.2909733157
426	0.2906190048
427	0.2904563046
428	0.2902898845
429	0.2901769333
430	0.2900892269
431	0.289925389
432	0.289667687
433	0.2893775895
434	0.2892334165
435	0.2891261355
436	0.2887964373
437	0.2886208438
438	0.2882530258
439	0.2880759696
440	0.2878952117
441	0.2877093975
442	0.2875914263
443	0.2873529378
444	0.2871844049
445	0.2871044272
446	0.2869472165
447	0.2867962177
448	0.2866562341
449	0.2864445432
450	0.2864160662
451	0.286124831
452	0.2859381862
453	0.2858109875
454	0.2854882235
455	0.2853493414
456	0.2851618479
457	0.2848381449
458	0.2846624792
459	0.2843184793
460	0.2841820711
461	0.2840147662
462	0.2838597405
463	0.2835524339
464	0.2833220533
465	0.2831200233
466	0.2829893214
467	0.282798433
468	0.2826373941
469	0.2823787531
470	0.2822180031
471	0.2820388704
472	0.2817927795
473	0.281578687
474	0.2814449333
475	0.2812086478
476	0.2810675085
477	0.2809962346
478	0.2807369074
479	0.280641707
480	0.2805029875
481	0.2802645531
482	0.2801343749
483	0.2800295858
484	0.2797977606
485	0.2796192598
486	0.2794978576
487	0.2793294331
488	0.2791624351
489	0.2789579312
490	0.2788317618
491	0.2786628497
492	0.2784020779
493	0.2783168093
494	0.278291709
495	0.2780560556
496	0.2778544228
497	0.2776851315
498	0.2775460328
499	0.2774546787
>>>>>>> 274e51bccac893a2d487edc99ab984d3098e5aab
